Date,Impressions ,Completes,Clicks,Installs,eRPM,,
01-Jun-14," 6,777,407 "," 5,978,434 "," 345,309 "," 31,339 ", 3.327 ,,
02-Jun-14," 6,004,310 "," 5,331,727 "," 299,732 "," 24,601 ", 2.943 ,,
03-Jun-14," 5,832,627 "," 5,193,549 "," 291,384 "," 24,220 ", 3.025 ,,
04-Jun-14," 5,875,702 "," 5,227,917 "," 295,099 "," 23,382 ", 2.985 ,,
05-Jun-14," 6,843,405 "," 6,111,378 "," 339,529 "," 27,725 ", 3.076 ,,
06-Jun-14," 7,790,350 "," 6,981,471 "," 392,987 "," 31,820 ", 3.137 ,,
07-Jun-14," 8,643,430 "," 7,733,750 "," 444,682 "," 38,119 ", 3.322 ,,
08-Jun-14," 8,929,848 "," 7,993,169 "," 449,680 "," 38,260 ", 3.269 ,,
09-Jun-14," 8,075,571 "," 7,259,148 "," 392,829 "," 32,825 ", 3.153 ,,
10-Jun-14," 7,726,694 "," 6,941,292 "," 382,769 "," 31,609 ", 3.237 ,,
11-Jun-14," 7,781,497 "," 6,999,630 "," 389,369 "," 31,683 ", 3.199 ,,
12-Jun-14," 7,770,595 "," 6,984,082 "," 391,254 "," 30,985 ", 3.206 ,,
13-Jun-14," 7,916,282 "," 7,091,841 "," 407,582 "," 31,679 ", 3.246 ,,
14-Jun-14," 8,724,061 "," 7,782,877 "," 459,952 "," 36,773 ", 3.482 ,,
15-Jun-14," 9,027,910 "," 8,075,018 "," 465,869 "," 37,701 ", 3.467 ,,
16-Jun-14," 7,957,999 "," 7,149,399 "," 395,612 "," 31,098 ", 3.245 ,,
17-Jun-14," 8,102,155 "," 7,283,722 "," 404,716 "," 31,359 ", 3.315 ,,
18-Jun-14," 8,043,855 "," 7,299,427 "," 407,014 "," 32,414 ", 3.460 ,,
19-Jun-14," 8,073,992 "," 7,226,473 "," 403,193 "," 31,665 ", 3.583 ,,
20-Jun-14," 8,085,480 "," 7,224,975 "," 406,766 "," 30,473 ", 3.479 ,,
21-Jun-14," 8,760,745 "," 7,825,166 "," 454,646 "," 33,178 ", 3.475 ,,
22-Jun-14," 8,864,803 "," 7,937,481 "," 453,647 "," 33,543 ", 3.459 ,,
23-Jun-14," 8,040,402 "," 7,182,500 "," 401,226 "," 28,864 ", 3.337 ,,
24-Jun-14," 7,882,136 "," 7,013,876 "," 389,975 "," 30,302 ", 3.326 ,,
25-Jun-14," 7,782,617 "," 6,932,529 "," 385,477 "," 30,369 ", 3.367 ,,
26-Jun-14," 7,734,447 "," 6,887,125 "," 388,935 "," 30,920 ", 3.530 ,,
27-Jun-14," 7,891,063 "," 7,025,318 "," 409,449 "," 31,689 ", 3.672 ,,
28-Jun-14," 8,460,726 "," 7,487,623 "," 457,487 "," 34,664 ", 3.830 ,,.
29-Jun-14," 8,849,803 "," 7,785,905 "," 478,901 "," 36,467 ", 3.777 ,,
30-Jun-14," 8,189,490 "," 7,233,880 "," 411,884 "," 32,160 ", 3.484 ,,
,,,,,,,
Exhibit 2: Data from Test A condition,,,,,,,